"ranking","team","world_cups_won","runner_ups","finals_played","total_points","wins","win_rate","losses","loss_rate","draws","draw_rate","games_played","goals_scored","goals_conceded","goal_difference","shootout_wins","shootout_win_rate","shootout_losses","shootout_loss_rate","shootouts_played"
"1","Brazil","5","2","7","237","73","66.97","18","16.51","18","16.52","109","229","105","124","3","75.00","1","25.00","4"
"2","Germany","4","4","8","221","67","61.47","22","20.18","20","18.35","109","226","125","101","4","100.00","0","0.00","4"
"3","Italy","4","2","6","156","45","54.22","17","20.48","21","25.30","83","128","77","51","1","25.00","3","75.00","4"
"4","Argentina","2","3","5","144","43","53.09","23","28.40","15","18.51","81","137","93","44","4","80.00","1","20.00","5"
"5","France","2","1","3","115","34","51.52","19","28.79","13","19.69","66","120","77","43","2","50.00","2","50.00","4"
"6","England","1","0","1","108","29","42.03","19","27.54","21","30.43","69","91","64","27","1","25.00","3","75.00","4"
"7","Spain","1","0","1","105","30","47.62","18","28.57","15","23.81","63","99","72","27","1","25.00","3","75.00","4"
"8","Netherlands","0","3","3","93","27","54.00","11","22.00","12","24.00","50","86","48","38","1","33.33","2","66.67","3"
"9","Uruguay","2","0","2","84","24","42.86","20","35.71","12","21.43","56","87","74","13","1","100.00","0","0.00","1"
"10","Sweden","0","1","1","70","19","37.25","19","37.25","13","25.50","51","80","73","7","1","100.00","0","0.00","1"
"11","Belgium","0","0","0","69","20","41.67","19","39.58","9","18.75","48","68","72","-4","1","100.00","0","0.00","1"
"12","Russia","0","0","0","67","19","42.22","16","35.56","10","22.22","45","77","54","23","1","50.00","1","50.00","2"
"13","Serbia","0","0","0","62","18","39.13","20","43.48","8","17.39","46","66","63","3","0","0.00","1","100.00","1"
"14","Mexico","0","0","0","62","16","28.07","27","47.37","14","24.56","57","60","98","-38","0","0.00","2","100.00","2"
"15","Poland","0","0","0","53","16","47.06","13","38.24","5","14.70","34","46","45","1","0","0.00","0","0.00","0"
"16","Hungary","0","2","2","48","15","46.88","14","43.75","3","9.37","32","87","57","30","0","0.00","0","0.00","0"
"17","Portugal","0","0","0","48","14","46.67","10","33.33","6","20.00","30","49","35","14","1","100.00","0","0.00","1"
"18","Switzerland","0","0","0","44","12","32.43","17","45.95","8","21.62","37","50","64","-14","0","0.00","1","100.00","1"
"19","Czech Republic","0","2","2","41","12","36.36","16","48.48","5","15.16","33","47","49","-2","0","0.00","0","0.00","0"
"20","Austria","0","0","0","40","12","41.38","13","44.83","4","13.79","29","43","47","-4","0","0.00","0","0.00","0"
"21","Chile","0","0","0","40","11","33.33","15","45.45","7","21.22","33","40","49","-9","0","0.00","1","100.00","1"
"22","Croatia","0","1","1","37","11","47.83","8","34.78","4","17.39","23","35","26","9","2","100.00","0","0.00","2"
"23","Denmark","0","0","0","32","9","45.00","6","30.00","5","25.00","20","30","26","4","0","0.00","1","100.00","1"
"24","Paraguay","0","0","0","31","7","25.93","10","37.04","10","37.03","27","30","38","-8","1","100.00","0","0.00","1"
"25","Colombia","0","0","0","30","9","40.91","10","45.45","3","13.64","22","32","30","2","0","0.00","1","100.00","1"
"26","United States","0","0","0","30","8","24.24","19","57.58","6","18.18","33","37","62","-25","0","0.00","0","0.00","0"
"27","Romania","0","0","0","29","8","38.10","8","38.10","5","23.80","21","30","32","-2","0","0.00","2","100.00","2"
"28","South Korea","0","0","0","27","6","17.65","19","55.88","9","26.47","34","34","70","-36","1","100.00","0","0.00","1"
"29","Nigeria","0","0","0","21","6","28.57","12","57.14","3","14.29","21","23","30","-7","0","0.00","0","0.00","0"
"30","Japan","0","0","0","20","5","23.81","11","52.38","5","23.81","21","20","29","-9","0","0.00","1","100.00","1"
"31","Costa Rica","0","0","0","20","5","27.78","8","44.44","5","27.78","18","19","28","-9","1","50.00","1","50.00","2"
"32","Scotland","0","0","0","19","4","17.39","12","52.17","7","30.44","23","25","41","-16","0","0.00","0","0.00","0"
"33","Cameroon","0","0","0","19","4","17.39","12","52.17","7","30.44","23","18","43","-25","0","0.00","0","0.00","0"
"34","Peru","0","0","0","18","5","27.78","10","55.56","3","16.66","18","21","33","-12","0","0.00","0","0.00","0"
"35","Bulgaria","0","0","0","17","3","11.54","15","57.69","8","30.77","26","22","53","-31","1","100.00","0","0.00","1"
"36","Turkey","0","0","0","16","5","50.00","4","40.00","1","10.00","10","20","17","3","0","0.00","0","0.00","0"
"37","Ghana","0","0","0","15","4","33.33","5","41.67","3","25.00","12","13","16","-3","0","0.00","1","100.00","1"
"38","Republic of Ireland","0","0","0","14","2","15.38","3","23.08","8","61.54","13","10","10","0","1","50.00","1","50.00","2"
"39","Northern Ireland","0","0","0","14","3","23.08","5","38.46","5","38.46","13","13","23","-10","0","0.00","0","0.00","0"
"40","Ecuador","0","0","0","13","4","40.00","5","50.00","1","10.00","10","10","11","-1","0","0.00","0","0.00","0"
"41","Senegal","0","0","0","12","3","37.50","2","25.00","3","37.50","8","11","10","1","0","0.00","0","0.00","0"
"42","Algeria","0","0","0","12","3","23.08","7","53.85","3","23.07","13","13","19","-6","0","0.00","0","0.00","0"
"43","Morocco","0","0","0","11","2","12.50","9","56.25","5","31.25","16","14","22","-8","0","0.00","0","0.00","0"
"44","Saudi Arabia","0","0","0","11","3","18.75","11","68.75","2","12.50","16","11","39","-28","0","0.00","0","0.00","0"
"45","Ivory Coast","0","0","0","10","3","33.33","5","55.56","1","11.11","9","13","14","-1","0","0.00","0","0.00","0"
"46","South Africa","0","0","0","10","2","22.22","3","33.33","4","44.45","9","11","16","-5","0","0.00","0","0.00","0"
"47","Tunisia","0","0","0","10","2","13.33","9","60.00","4","26.67","15","13","25","-12","0","0.00","0","0.00","0"
"48","Iran","0","0","0","10","2","13.33","9","60.00","4","26.67","15","9","24","-15","0","0.00","0","0.00","0"
"49","Australia","0","0","0","10","2","12.50","10","62.50","4","25.00","16","13","31","-18","0","0.00","0","0.00","0"
"50","Norway","0","0","0","9","2","25.00","3","37.50","3","37.50","8","7","8","-1","0","0.00","0","0.00","0"
"51","East Germany","0","0","0","8","2","33.33","2","33.33","2","33.34","6","5","5","0","0","0.00","0","0.00","0"
"52","Greece","0","0","0","8","2","20.00","6","60.00","2","20.00","10","5","20","-15","0","0.00","1","100.00","1"
"53","Ukraine","0","0","0","7","2","40.00","2","40.00","1","20.00","5","5","7","-2","1","100.00","0","0.00","1"
"54","Wales","0","0","0","6","1","20.00","1","20.00","3","60.00","5","4","4","0","0","0.00","0","0.00","0"
"55","Slovakia","0","0","0","4","1","25.00","2","50.00","1","25.00","4","5","7","-2","0","0.00","0","0.00","0"
"56","Slovenia","0","0","0","4","1","16.67","4","66.67","1","16.66","6","5","10","-5","0","0.00","0","0.00","0"
"57","Cuba","0","0","0","4","1","33.33","1","33.33","1","33.34","3","5","12","-7","0","0.00","0","0.00","0"
"58","North Korea","0","0","0","4","1","14.29","5","71.43","1","14.28","7","6","21","-15","0","0.00","0","0.00","0"
"59","Bosnia and Herzegovina","0","0","0","3","1","33.33","2","66.67","0","0.00","3","4","4","0","0","0.00","0","0.00","0"
"60","Jamaica","0","0","0","3","1","33.33","2","66.67","0","0.00","3","3","9","-6","0","0.00","0","0.00","0"
"61","New Zealand","0","0","0","3","0","0.00","3","50.00","3","50.00","6","4","14","-10","0","0.00","0","0.00","0"
"62","Honduras","0","0","0","3","0","0.00","6","66.67","3","33.33","9","3","14","-11","0","0.00","0","0.00","0"
"63","Angola","0","0","0","2","0","0.00","1","33.33","2","66.67","3","1","2","-1","0","0.00","0","0.00","0"
"64","Israel","0","0","0","2","0","0.00","1","33.33","2","66.67","3","1","3","-2","0","0.00","0","0.00","0"
"65","Egypt","0","0","0","2","0","0.00","5","71.43","2","28.57","7","5","12","-7","0","0.00","0","0.00","0"
"66","Iceland","0","0","0","1","0","0.00","2","66.67","1","33.33","3","2","5","-3","0","0.00","0","0.00","0"
"67","Kuwait","0","0","0","1","0","0.00","2","66.67","1","33.33","3","2","6","-4","0","0.00","0","0.00","0"
"68","Trinidad and Tobago","0","0","0","1","0","0.00","2","66.67","1","33.33","3","0","4","-4","0","0.00","0","0.00","0"
"69","Bolivia","0","0","0","1","0","0.00","5","83.33","1","16.67","6","1","20","-19","0","0.00","0","0.00","0"
"70","Iraq","0","0","0","0","0","0.00","3","100.00","0","0.00","3","1","4","-3","0","0.00","0","0.00","0"
"71","Togo","0","0","0","0","0","0.00","3","100.00","0","0.00","3","1","6","-5","0","0.00","0","0.00","0"
"72","Canada","0","0","0","0","0","0.00","3","100.00","0","0.00","3","0","5","-5","0","0.00","0","0.00","0"
"73","Indonesia","0","0","0","0","0","0.00","1","100.00","0","0.00","1","0","6","-6","0","0.00","0","0.00","0"
"74","Panama","0","0","0","0","0","0.00","3","100.00","0","0.00","3","2","11","-9","0","0.00","0","0.00","0"
"75","United Arab Emirates","0","0","0","0","0","0.00","3","100.00","0","0.00","3","2","11","-9","0","0.00","0","0.00","0"
"76","China PR","0","0","0","0","0","0.00","3","100.00","0","0.00","3","0","9","-9","0","0.00","0","0.00","0"
"77","Haiti","0","0","0","0","0","0.00","3","100.00","0","0.00","3","2","14","-12","0","0.00","0","0.00","0"
"78","DR Congo","0","0","0","0","0","0.00","3","100.00","0","0.00","3","0","14","-14","0","0.00","0","0.00","0"
"79","El Salvador","0","0","0","0","0","0.00","6","100.00","0","0.00","6","1","22","-21","0","0.00","0","0.00","0"